,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
311,2020-08-13 18:40:17.114317,2020-08-13,2,Unieuro,,Samsung,Galaxy S8+ 4G 64GB Orchid grey,€299.00,€399.00,4   GB,64   GB,SIM singola  ,Si  ,Si  ,Orchid grey  ,SAMOLED  ,"6.2   """,No,3500   mAh,159.5   mm,73.4   mm,8.1   mm,173   g
312,2020-08-13 18:41:01.910887,2020-08-13,2,Unieuro,,Samsung,Galaxy S8+ 4G 64GB Midnight black,€299.00,€399.00,4   GB,64   GB,SIM singola  ,Si  ,Si  ,Midnight black  ,SAMOLED  ,"6.2   """,No,3500   mAh,159.5   mm,73.4   mm,8.1   mm,173   g
313,2020-08-13 18:41:48.481467,2020-08-13,2,Unieuro,Android  ,Honor,10,€149.00,€199.00,4   GB,64   GB,Doppia SIM  ,Si  ,Si  ,Nero  ,IPS  ,"5.84   """,No,3400   mAh,149.6   mm,71.2   mm,7.7   mm,153   g
314,2020-08-13 18:42:44.369815,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max (M1),€119.00,€159.99,3   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Oro  ,IPS  ,"5.5   """,No,4000   mAh,147.3   mm,70.9   mm,8.7   mm,150   g
315,2020-08-13 18:43:18.994340,2020-08-13,2,Unieuro,Android  ,Huawei,Y5 2019,€109.00,€139.90,2   GB,16   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,IPS  ,"5.71   """,No,3020   mAh,147.13   mm,70.78   mm,8.45   mm,146   g
316,2020-08-13 18:43:49.337533,2020-08-13,2,Unieuro,Android  ,Huawei,P20 Pro,€259.00,€329.00,6   GB,128   GB,,Sì  ,Sì  ,Blu  ,OLED  ,"6.1   """,Vodafone,4000   mAh,155   mm,73.9   mm,7.8   mm,180   g
317,2020-08-13 18:44:53.277855,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max Pro M1,€159.00,€199.99,4   GB,64   GB,Doppia SIM  ,Si  ,Si  ,Argento  ,IPS  ,"6   """,No,5000   mAh,159   mm,76   mm,8.45   mm,180   g
318,2020-08-13 18:45:30.590742,2020-08-13,2,Unieuro,Android  ,Huawei,P Smart 2019,€159.00,€199.90,3   GB,64   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Blu  ,LTPS  ,"6.21   """,No,3400   mAh,155.2   mm,73.4   mm,7.95   mm,160   g
319,2020-08-13 18:46:04.169308,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone 6 ZS630KL,€449.00,€559.00,6   GB,128   GB,Doppia SIM  ,Sì  ,Si  ,Nero  ,IPS  ,"6.4   """,No,5000   mAh,159.1   mm,75.44   mm,9.1   mm,190   g
320,2020-08-13 18:46:46.813859,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max Pro M2 ZB631KL-4J097EU,€179.00,€219.99,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Titanio  ,IPS  ,"6.3   """,No,5000   mAh,157.9   mm,75.5   mm,8.5   mm,175   g
321,2020-08-13 18:47:27.248034,2020-08-13,2,Unieuro,,LG,G7 ThinQ SIM singola 4G 64GB Nero,€219.00,€269.90,4   GB,64   GB,SIM singola  ,Si  ,Si  ,Nero  ,,"6.1   """,No,3000   mAh,153.2   mm,71.9   mm,7.9   mm,162   g
322,2020-08-13 18:48:09.518374,2020-08-13,2,Unieuro,Android  ,Oppo,Reno Z,€179.00,€219.00,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Porpora  ,AMOLED  ,"6.4   """,No,4035   mAh,157.3   mm,74.9   mm,9.1   mm,186   g
